index,sqft,mean_district_income,type_Att/Row/Twnhouse,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Semi-Detached
140,650.0,54438.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
141,850.0,70623.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143,1500.0,54438.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
149,850.0,45737.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150,750.0,70600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152,1700.0,47384.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
153,900.0,35047.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
158,1300.0,70623.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
164,250.0,56526.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
166,1300.0,45936.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
167,650.0,71204.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
168,1100.0,54438.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
169,1100.0,31825.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
171,1750.0,92580.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
172,650.0,28875.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
173,1300.0,28654.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,550.0,52787.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
177,250.0,70600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
178,650.0,54438.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,650.0,70600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
181,550.0,70600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
183,550.0,33256.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
184,250.0,52035.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
185,850.0,70600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
187,1100.0,70623.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
190,1750.0,39556.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
194,1300.0,31786.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
