index,sqft,mean_district_income,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Plex,type_Semi-Detached
222,2750.0,34168,1265000,0,0,0,0,0,1,0,0
223,250.0,70600,442500,0,0,0,1,0,0,0,0
225,1100.0,28085,540000,0,0,0,1,0,0,0,0
227,2250.0,70623,1600000,1,0,0,0,0,0,0,0
229,2250.0,70623,1800000,0,0,0,0,0,0,0,1
230,1300.0,67757,850000,0,0,0,1,0,0,0,0
232,550.0,70600,515000,0,0,0,1,0,0,0,0
236,1300.0,40442,570000,0,0,0,0,1,0,0,0
237,650.0,38527,360000,0,0,0,1,0,0,0,0
238,950.0,33323,413000,0,0,0,1,0,0,0,0
239,250.0,54438,430000,0,0,0,1,0,0,0,0
